iter	RMSE
0	6323.797624
1	5951.648115
2	5594.713892
3	5269.981427
4	4954.841185
5	4710.150631
6	4477.329491
7	4276.151079
8	4080.348712
9	3889.368418
10	3711.164233
11	3562.987599
12	3425.732242
13	3277.050032
14	3160.232876
15	3045.940338
16	2919.177917
17	2824.694031
18	2748.905389
19	2662.273936
20	2582.81631
21	2518.99915
22	2452.140406
23	2389.152838
24	2340.106339
25	2276.919065
26	2228.346564
27	2183.607838
28	2143.572942
29	2104.983184
30	2068.246193
31	2033.781486
32	2005.89685
33	1978.566198
34	1945.222308
35	1912.947025
36	1887.71526
37	1858.310446
38	1841.220755
39	1808.083033
40	1790.680902
41	1769.684129
42	1748.304456
43	1728.540093
44	1718.316902
45	1695.205811
46	1681.793842
47	1657.742486
48	1649.134931
49	1628.713913
50	1605.756741
51	1578.111557
52	1564.917659
53	1542.969865
54	1527.028336
55	1520.411421
56	1510.728577
57	1493.357553
58	1482.325073
59	1463.185538
60	1449.248547
61	1439.365934
62	1424.681446
63	1411.246651
64	1404.208467
65	1395.114799
66	1384.128367
67	1367.267971
68	1362.752223
69	1358.116098
70	1345.143752
71	1338.950101
72	1335.593889
73	1332.510778
74	1329.392277
75	1314.926646
76	1307.076778
77	1303.530052
78	1300.24561
79	1296.467526
80	1289.666432
81	1286.70076
82	1283.659239
83	1279.028588
84	1276.572997
85	1260.044609
86	1256.062089
87	1251.803257
88	1249.773233
89	1247.829578
90	1236.525661
91	1234.744181
92	1220.780692
93	1217.46138
94	1215.579234
95	1213.847038
96	1202.322324
97	1201.022981
98	1189.661124
99	1176.826885
