iter	Passed	Remaining
0	4	425
1	7	361
2	10	342
3	13	333
4	17	324
5	20	316
6	23	309
7	26	304
8	29	302
9	32	293
10	33	272
11	34	255
12	36	241
13	37	228
14	38	217
15	39	208
16	41	201
17	42	195
18	44	190
19	46	184
20	47	177
21	48	171
22	49	165
23	50	160
24	51	155
25	52	150
26	54	146
27	55	142
28	56	137
29	57	133
30	58	129
31	59	126
32	60	123
33	61	119
34	62	116
35	63	113
36	65	110
37	66	108
38	67	105
39	68	102
40	69	100
41	70	97
42	72	95
43	73	93
44	74	91
45	75	88
46	76	86
47	77	84
48	78	81
49	79	79
50	80	77
51	81	75
52	83	73
53	84	71
54	85	69
55	86	67
56	87	66
57	88	64
58	89	62
59	90	60
60	92	58
61	93	57
62	94	55
63	95	53
64	96	52
65	97	50
66	99	48
67	100	47
68	101	45
69	102	43
70	103	42
71	104	40
72	105	39
73	106	37
74	107	35
75	108	34
76	110	32
77	111	31
78	112	29
79	113	28
80	114	26
81	115	25
82	116	23
83	117	22
84	119	21
85	120	19
86	121	18
87	122	16
88	123	15
89	124	13
90	125	12
91	126	11
92	127	9
93	129	8
94	130	6
95	131	5
96	132	4
97	133	2
98	134	1
99	136	0
