iter	RMSE
0	6622.027661
1	6499.805824
2	6377.194673
3	6258.336005
4	6133.413136
5	6030.885168
6	5931.285313
7	5834.640875
8	5742.836367
9	5648.352914
10	5551.675639
11	5458.38307
12	5380.400145
13	5285.271264
14	5195.671115
15	5110.403806
16	5014.416764
17	4937.655492
18	4867.077474
19	4791.70858
20	4718.578405
21	4653.433081
22	4583.297593
23	4517.056083
24	4453.126344
25	4379.389554
26	4318.323975
27	4260.822246
28	4199.901832
29	4143.764191
30	4088.759099
31	4022.38226
32	3962.040352
33	3910.401798
34	3860.210465
35	3804.870112
36	3752.748876
37	3699.995527
38	3660.719282
39	3615.23479
40	3568.454193
41	3527.851951
42	3485.983879
43	3440.49607
44	3393.408863
45	3354.12846
46	3314.83953
47	3278.001427
48	3244.277563
49	3211.647653
50	3182.981028
51	3153.190452
52	3117.929273
53	3089.34927
54	3055.915693
55	3026.302002
56	2996.529518
57	2969.697512
58	2936.888083
59	2902.840892
60	2881.553123
61	2849.769079
62	2823.3865
63	2796.023396
64	2768.167416
65	2740.861402
66	2712.72994
67	2686.853165
68	2664.081199
69	2639.332372
70	2617.477168
71	2591.37087
72	2564.461863
73	2541.983601
74	2517.52152
75	2498.490577
76	2481.915793
77	2462.567458
78	2441.203273
79	2422.170558
80	2403.913023
81	2381.043538
82	2369.537264
83	2353.907495
84	2337.813768
85	2320.725933
86	2305.040172
87	2290.299918
88	2274.439961
89	2258.55231
90	2244.311597
91	2226.552932
92	2214.982146
93	2200.596753
94	2187.305462
95	2177.125859
96	2160.885643
97	2146.953553
98	2132.925063
99	2120.883176
100	2106.857087
101	2094.297097
102	2081.610978
103	2067.835246
104	2055.213299
105	2046.217681
106	2037.205684
107	2029.53814
108	2017.031352
109	2003.624438
110	1993.097964
111	1983.38644
112	1972.569696
113	1965.039786
114	1956.198442
115	1946.660289
116	1938.396844
117	1927.972649
118	1916.606073
119	1907.270436
120	1895.463952
121	1888.320372
122	1882.843541
123	1875.850243
124	1868.244052
125	1861.809148
126	1853.866
127	1848.406704
128	1838.868578
129	1826.492462
130	1819.009057
131	1812.016399
132	1803.905138
133	1794.830065
134	1787.137969
135	1777.813213
136	1771.839811
137	1763.660884
138	1759.166556
139	1753.386358
140	1746.023738
141	1740.695212
142	1733.856443
143	1727.685895
144	1722.485576
145	1716.16408
146	1706.390908
147	1701.090342
148	1696.28517
149	1690.41441
150	1685.166961
151	1678.068942
152	1671.788309
153	1667.584864
154	1662.226077
155	1657.645036
156	1650.278678
157	1645.993823
158	1642.464407
159	1636.453824
160	1629.894074
161	1623.567422
162	1620.851055
163	1617.534202
164	1614.159249
165	1604.226823
166	1595.889699
167	1588.512226
168	1585.056708
169	1578.309656
170	1575.994002
171	1572.296482
172	1565.283693
173	1560.428596
174	1556.953518
175	1552.167764
176	1544.261377
177	1536.210797
178	1530.284526
179	1524.698413
180	1521.213453
181	1517.688163
182	1512.950965
183	1505.888026
184	1501.100812
185	1494.73321
186	1492.230544
187	1488.992439
188	1484.547527
189	1481.98671
190	1476.165863
191	1472.687114
192	1469.527556
193	1464.573854
194	1459.610569
195	1455.831323
196	1452.612351
197	1448.302679
198	1445.98381
199	1443.737213
200	1442.373581
201	1434.951053
202	1431.516631
203	1428.085867
204	1424.7257
205	1421.001333
206	1417.752719
207	1414.393002
208	1413.140641
209	1409.846668
210	1408.393784
211	1404.298083
212	1401.571049
213	1397.855093
214	1396.234953
215	1394.670454
216	1393.319014
217	1391.071788
218	1389.507258
219	1387.924173
220	1383.945077
221	1381.676881
222	1378.60715
223	1376.206682
224	1369.453357
225	1363.277185
226	1361.295691
227	1359.622611
228	1357.418283
229	1354.481775
230	1353.264461
231	1351.664697
232	1349.672732
233	1344.147137
234	1341.516306
235	1337.659856
236	1335.633414
237	1331.800006
238	1329.843031
239	1328.102185
240	1326.644695
241	1324.732266
242	1322.053568
243	1320.602921
244	1318.260523
245	1316.772645
246	1314.695746
247	1313.028331
248	1312.01078
249	1308.751804
250	1307.84236
251	1306.487272
252	1304.994909
253	1302.496338
254	1300.81701
255	1296.041917
256	1294.633822
257	1293.770655
258	1290.651114
259	1289.628525
260	1288.476916
261	1285.523305
262	1283.162699
263	1282.074268
264	1278.402902
265	1277.603302
266	1276.300871
267	1275.455716
268	1274.05046
269	1271.102783
270	1269.504677
271	1268.124449
272	1267.388289
273	1263.423295
274	1258.762592
275	1258.020444
276	1257.338967
277	1256.617439
278	1255.974029
279	1254.937575
280	1253.520326
281	1252.866133
282	1248.751099
283	1247.05454
284	1244.180781
285	1243.530724
286	1242.892645
287	1238.444509
288	1237.877335
289	1233.544992
290	1232.794482
291	1231.969658
292	1230.285083
293	1226.383149
294	1222.903002
295	1222.329302
296	1221.68042
297	1218.564555
298	1216.188425
299	1213.673898
300	1213.184761
301	1207.567414
302	1203.774521
303	1203.13222
304	1201.585504
305	1196.719005
306	1196.257638
307	1193.419905
308	1192.502121
309	1191.42192
310	1190.843559
311	1189.441204
312	1186.561448
313	1186.009648
314	1181.718753
315	1181.208364
316	1179.046983
317	1172.878223
318	1168.867972
319	1164.213443
320	1163.805562
321	1162.553383
322	1159.020498
323	1158.365908
324	1156.995727
325	1156.549416
326	1150.8813
327	1147.238472
328	1144.696403
329	1143.042684
330	1142.670506
331	1139.769997
332	1137.362476
333	1133.713154
334	1133.352684
335	1128.013362
336	1123.462788
337	1121.028865
338	1118.553938
339	1117.355213
340	1112.769633
341	1110.362797
342	1107.998355
343	1102.411117
344	1101.997651
345	1101.137725
346	1100.810111
347	1098.405868
348	1096.114268
349	1091.618396
350	1090.990213
351	1087.071066
352	1086.730721
353	1086.4236
354	1084.749488
355	1081.698683
356	1081.249314
357	1076.844435
358	1072.971437
359	1072.571643
360	1070.341875
361	1066.552579
362	1063.622613
363	1063.28094
364	1062.967512
365	1062.658501
366	1062.395131
367	1062.074174
368	1060.630509
369	1057.818021
370	1055.959113
371	1052.106595
372	1048.174441
373	1043.669786
374	1041.416819
375	1039.63267
376	1035.928579
377	1032.66525
378	1029.920666
379	1026.495282
380	1024.315559
381	1020.48281
382	1018.26189
383	1017.986871
384	1016.668366
385	1012.356221
386	1010.479843
387	1008.688847
388	1008.185843
389	1006.5657
390	1004.660084
391	1001.856781
392	998.6644172
393	994.961882
394	991.8747776
395	988.3732542
396	987.4446245
397	984.3017949
398	983.2312506
399	979.3259515
400	978.0929036
401	976.4637376
402	975.9648921
403	972.2795358
404	971.9354222
405	968.7162412
406	965.6881521
407	962.6591546
408	960.6254412
409	958.7950951
410	958.1888188
411	957.9544263
412	956.3939844
413	955.7390582
414	952.5947617
415	948.5710875
416	945.98339
417	942.7067166
418	940.9249302
419	939.5648912
420	937.9959463
421	935.8778099
422	935.2746989
423	934.4578637
424	931.6406763
425	928.2876642
426	927.6215866
427	925.0012532
428	923.0036656
429	920.6081127
430	918.7299292
431	916.0550378
432	914.1328955
433	912.8386132
434	910.4701652
435	907.7722308
436	906.8611904
437	904.7287093
438	903.7743145
439	903.5755084
440	901.7426659
441	900.5562399
442	899.286232
443	895.5841625
444	893.5034095
445	891.7928567
446	890.5274464
447	888.1656997
448	885.9816393
449	883.9743469
450	881.6457085
451	878.490502
452	876.7908659
453	876.1115084
454	872.8885177
455	871.8424445
456	871.1430165
457	868.8699929
458	868.1260293
459	865.6655275
460	863.701754
461	862.6919558
462	859.4308523
463	858.1214618
464	857.342311
465	855.9447525
466	854.3135068
467	853.6281302
468	851.4806635
469	849.7708248
470	847.5541703
471	846.5754343
472	844.967451
473	843.4108317
474	842.5975782
475	840.5409999
476	839.837736
477	838.4882291
478	837.0298755
479	835.018655
480	831.8011929
481	830.8421225
482	829.2035255
483	827.5230339
484	826.0211626
485	824.9215539
486	822.6057894
487	821.9936156
488	820.9185587
489	820.7636586
490	819.9456749
491	818.7196993
492	817.8683919
493	815.6404102
494	813.4306156
495	811.220646
496	809.5263382
497	808.5934042
498	806.7659759
499	805.1229386
500	803.5568211
501	802.8099162
502	801.5371199
503	799.6933511
504	798.6687065
505	797.1931869
506	795.6203049
507	792.6330584
508	791.3238033
509	788.5251504
510	785.501974
511	784.6945372
512	783.6824674
513	782.9281261
514	782.1776155
515	781.4825902
516	779.8847226
517	779.1447918
518	776.7380901
519	774.4104664
520	772.346501
521	770.8927218
522	770.3383708
523	768.2299577
524	767.6059278
525	766.7130579
526	764.4447362
527	761.9810615
528	761.182714
529	758.961023
530	758.2584851
531	756.408526
532	755.4121445
533	753.4815446
534	751.4024739
535	750.2649827
536	748.7232852
537	747.9276901
538	746.9599556
539	745.5343058
540	743.4858603
541	742.9099688
542	742.252479
543	740.4106136
544	738.5714558
545	738.2667387
546	737.7426099
547	735.8002281
548	734.1404901
549	732.0987924
550	731.6499779
551	729.2106326
552	727.2377892
553	725.8014744
554	725.2495659
555	724.015068
556	722.873458
557	720.8368056
558	720.2699833
559	719.7925661
560	719.1781079
561	717.8293563
562	716.8303898
563	714.0291544
564	712.6206523
565	711.4606068
566	710.6317566
567	710.0831372
568	708.5305252
569	706.6642286
570	706.1506077
571	705.6948218
572	704.5390987
573	703.9367759
574	703.3772082
575	702.9157162
576	702.1501691
577	700.729943
578	699.7938822
579	698.8166283
580	698.3040915
581	696.2289536
582	694.5481121
583	693.7055169
584	691.9101473
585	691.385622
586	690.358199
587	689.8494022
588	689.3812527
589	687.855987
590	686.4151452
591	685.7313413
592	684.1223686
593	682.4196461
594	681.0772637
595	680.6146514
596	678.5801428
597	676.8314802
598	675.1660367
599	674.6251224
600	673.2782199
601	671.6313307
602	670.2140026
603	669.7085515
604	667.9599187
605	667.1959022
606	665.5723753
607	664.5489879
608	663.1160877
609	662.6574237
610	661.4334641
611	661.1529658
612	659.5362275
613	659.0873728
614	656.3526564
615	655.9044509
616	654.0274419
617	653.2916616
618	652.9728532
619	652.2831961
620	651.5927352
621	649.6470076
622	649.2295024
623	648.1355188
624	646.5724741
625	645.0567571
626	643.6849862
627	643.189112
628	642.6428866
629	642.1316293
630	641.7206384
631	640.6415488
632	640.2418387
633	638.9913129
634	637.0986962
635	636.147751
636	634.8447096
637	634.5499885
638	632.971618
639	631.546873
640	630.5073926
641	629.703988
642	628.3973205
643	626.9529659
644	625.641807
645	625.234844
646	623.658821
647	622.3110338
648	621.5464068
649	619.6695826
650	618.6306719
651	618.2197373
652	616.0502231
653	615.1500958
654	614.7218797
655	612.9272816
656	611.5969764
657	611.2167989
658	610.765453
659	609.9596912
660	609.1929555
661	608.319883
662	607.8244666
663	606.1555503
664	605.7121597
665	604.2376909
666	603.086061
667	601.717408
668	600.4434758
669	600.0656084
670	599.3693625
671	598.378003
672	597.1668333
673	595.9684961
674	595.54086
675	594.2930076
