iter	Passed	Remaining
0	3	3355
1	6	3307
2	9	3175
3	11	2977
4	20	4101
5	23	3830
6	25	3613
7	27	3452
8	30	3319
9	32	3207
10	34	3059
11	36	2997
12	38	2898
13	39	2789
14	41	2734
15	43	2647
16	44	2576
17	69	3800
18	72	3747
19	74	3673
20	77	3606
21	79	3546
22	85	3637
23	88	3605
24	91	3569
25	94	3524
26	100	3631
27	103	3592
28	104	3499
29	106	3433
30	107	3364
31	109	3306
32	110	3245
33	112	3193
34	115	3190
35	117	3135
36	118	3081
37	119	3031
38	121	2986
39	122	2940
40	123	2897
41	125	2856
42	127	2842
43	129	2821
44	131	2794
45	133	2764
46	134	2733
47	136	2703
48	137	2675
49	139	2646
50	140	2621
51	142	2594
52	144	2577
53	145	2545
54	145	2506
55	147	2482
56	149	2466
57	150	2448
58	151	2423
59	152	2396
60	154	2376
61	155	2357
62	157	2335
63	158	2318
64	159	2300
65	161	2284
66	162	2264
67	163	2243
68	164	2223
69	165	2204
70	167	2185
71	168	2168
72	169	2153
73	170	2138
74	172	2123
75	173	2112
76	175	2101
77	176	2085
78	177	2070
79	178	2054
80	179	2039
81	180	2025
82	181	2006
83	182	1993
84	183	1975
85	184	1961
86	185	1949
87	186	1936
88	188	1925
89	189	1919
90	191	1909
91	192	1897
92	193	1886
93	194	1874
94	195	1863
95	196	1850
96	197	1840
97	198	1829
98	199	1819
99	201	1809
100	202	1799
101	203	1793
102	205	1787
103	206	1777
104	207	1768
105	208	1759
106	209	1750
107	210	1739
108	211	1730
109	212	1722
110	213	1713
111	215	1705
112	216	1697
113	217	1689
114	218	1684
115	220	1679
116	221	1672
117	222	1664
118	223	1657
119	224	1649
120	226	1642
121	227	1635
122	228	1628
123	229	1621
124	230	1614
125	231	1607
126	232	1601
127	234	1594
128	235	1591
129	236	1584
130	237	1578
131	239	1572
132	240	1566
133	241	1561
134	242	1555
135	243	1549
136	245	1543
137	246	1537
138	247	1531
139	248	1526
140	250	1523
141	251	1520
142	252	1515
143	254	1512
144	256	1511
145	257	1507
146	259	1502
147	260	1497
148	261	1492
149	262	1486
150	263	1481
151	265	1481
152	266	1476
153	267	1468
154	268	1463
155	269	1458
156	270	1453
157	271	1448
158	272	1443
159	273	1438
160	275	1433
161	276	1428
162	277	1424
163	278	1419
164	280	1418
165	281	1415
166	282	1411
167	284	1407
168	285	1402
169	286	1398
170	286	1390
171	287	1386
172	289	1381
173	290	1377
174	291	1373
175	292	1369
176	293	1366
177	296	1369
178	298	1367
179	299	1364
180	301	1363
181	302	1361
182	304	1359
183	305	1356
184	307	1352
185	308	1348
186	310	1347
187	311	1345
188	312	1342
189	314	1339
190	315	1335
191	316	1331
192	317	1328
193	318	1324
194	319	1320
195	320	1316
196	322	1312
197	323	1308
198	325	1309
199	327	1308
200	328	1304
201	329	1301
202	330	1297
203	331	1294
204	332	1290
205	333	1286
206	334	1282
207	336	1279
208	337	1276
209	338	1272
210	340	1274
211	343	1276
212	345	1275
213	346	1272
214	347	1269
215	349	1266
216	350	1264
217	352	1263
218	353	1259
219	354	1255
220	356	1256
221	357	1254
222	359	1251
223	360	1248
224	361	1245
225	362	1242
226	363	1238
227	364	1235
228	366	1232
229	367	1229
230	368	1226
231	370	1225
232	371	1223
233	372	1220
234	373	1216
235	374	1213
236	375	1210
237	377	1207
238	378	1203
239	379	1200
240	380	1197
241	381	1194
242	382	1191
243	385	1193
244	387	1194
245	389	1193
246	391	1192
247	392	1190
248	393	1187
249	394	1184
250	395	1181
251	397	1179
252	398	1176
253	400	1176
254	401	1174
255	403	1171
256	404	1168
257	405	1165
258	406	1162
259	407	1159
260	408	1156
261	409	1154
262	410	1151
263	412	1148
264	413	1146
265	415	1145
266	416	1144
267	418	1141
268	419	1139
269	420	1136
270	421	1133
271	422	1130
272	423	1128
273	424	1125
274	425	1122
275	427	1120
276	428	1117
277	429	1116
278	431	1115
279	432	1112
280	433	1110
281	435	1107
282	436	1105
283	437	1102
284	438	1099
285	439	1097
286	440	1095
287	441	1092
288	443	1089
289	444	1088
290	446	1087
291	447	1086
292	449	1084
293	450	1081
294	451	1079
295	452	1076
296	453	1074
297	454	1071
298	456	1069
299	457	1066
